#X,rev_axeAmortisseur_supportPrincipal->RZ_Velocity(rel)
#Time(sec),Angular Velocity(degrees/sec)_Real
4.480000E+00,-6.014119
4.490000E+00,-6.016979
4.500000E+00,-6.019839
4.510000E+00,-6.022698
4.520000E+00,-6.025558
4.530000E+00,-6.028418
4.540000E+00,-6.031278
4.550000E+00,-6.034138
4.560000E+00,-6.036997
4.570000E+00,-6.039857
4.580000E+00,-6.042717
4.590000E+00,-6.045576
4.600000E+00,-6.048436
4.610000E+00,-6.051295
4.620000E+00,-6.054154
4.630000E+00,-6.057013
4.640000E+00,-6.059871
4.650000E+00,-6.062729
4.660000E+00,-6.065587
4.670000E+00,-6.068445
4.680000E+00,-6.071302
4.690000E+00,-6.074159
4.700000E+00,-6.077016
4.710000E+00,-6.079872
4.720000E+00,-6.082728
4.730000E+00,-6.085583
4.740000E+00,-6.088438
4.750000E+00,-6.091292
4.760000E+00,-6.094145
4.770000E+00,-6.096999
4.780000E+00,-6.099851
4.790000E+00,-6.102703
4.800000E+00,-6.105554
4.810000E+00,-6.108405
4.820000E+00,-6.111255
4.830000E+00,-6.114104
4.840000E+00,-6.116952
4.850000E+00,-6.119800
4.860000E+00,-6.122647
4.870000E+00,-6.125493
4.880000E+00,-6.128338
4.890000E+00,-6.131182
4.900000E+00,-6.134026
4.910000E+00,-6.136868
4.920000E+00,-6.139710
4.930000E+00,-6.142550
4.940000E+00,-6.145390
4.950000E+00,-6.148228
4.960000E+00,-6.151066
4.970000E+00,-6.153903
4.980000E+00,-6.156738
4.990000E+00,-6.159572
5.000000E+00,-6.162405
5.010000E+00,-6.165237
5.020000E+00,-6.168067
5.030000E+00,-6.170897
5.040000E+00,-6.173725
5.050000E+00,-6.176552
5.060000E+00,-6.179378
5.070000E+00,-6.182202
5.080000E+00,-6.185025
5.090000E+00,-6.187846
5.100000E+00,-6.190667
5.110000E+00,-6.193485
5.120000E+00,-6.196302
5.130000E+00,-6.199118
5.140000E+00,-6.201933
5.150000E+00,-6.204745
5.160000E+00,-6.207556
5.170000E+00,-6.210366
5.180000E+00,-6.213174
5.190000E+00,-6.215980
5.200000E+00,-6.218785
5.210000E+00,-6.221587
5.220000E+00,-6.224389
5.230000E+00,-6.227188
5.240000E+00,-6.229986
5.250000E+00,-6.232782
5.260000E+00,-6.235575
5.270000E+00,-6.238368
5.280000E+00,-6.241158
5.290000E+00,-6.243947
5.300000E+00,-6.246733
5.310000E+00,-6.249517
5.320000E+00,-6.252300
5.330000E+00,-6.255081
5.340000E+00,-6.257859
5.350000E+00,-6.260635
5.360000E+00,-6.263410
5.370000E+00,-6.266182
5.380000E+00,-6.268952
5.390000E+00,-6.271720
5.400000E+00,-6.274486
5.410000E+00,-6.277249
5.420000E+00,-6.280010
5.430000E+00,-6.282769
5.440000E+00,-6.285526
5.450000E+00,-6.288280
5.460000E+00,-6.291032
5.470000E+00,-6.293782
5.480000E+00,-6.296529
5.490000E+00,-6.299274
5.500000E+00,-6.302016
5.510000E+00,-6.304756
5.520000E+00,-6.307493
5.530000E+00,-6.310228
5.540000E+00,-6.312960
5.550000E+00,-6.315689
5.560000E+00,-6.318416
5.570000E+00,-6.321141
5.580000E+00,-6.323862
5.590000E+00,-6.326581
5.600000E+00,-6.329297
5.610000E+00,-6.332011
5.620000E+00,-6.334721
5.630000E+00,-6.337429
5.640000E+00,-6.340134
5.650000E+00,-6.342837
5.660000E+00,-6.345536
5.670000E+00,-6.348232
5.680000E+00,-6.350926
5.690000E+00,-6.353616
5.700000E+00,-6.356304
5.710000E+00,-6.358988
5.720000E+00,-6.361669
5.730000E+00,-6.364348
5.740000E+00,-6.367023
5.750000E+00,-6.369695
5.760000E+00,-6.372364
5.770000E+00,-6.375030
5.780000E+00,-6.377692
5.790000E+00,-6.380351
5.800000E+00,-6.383007
5.810000E+00,-6.385660
5.820000E+00,-6.388310
